,LINK,CLASS,CONTENT
510,0,0,"in the beginning she was scared off everything and next thing you know she is out in a leopard bikini.
"
511,0,1,"please look at my channel.
"
512,0,1,"my three bigger secrets are: i don't think i'm good enough for me skinny size. i'm bisexual and i sweat really freaking bad when i'm nervous. - check out secret by austin mahone's new single.
"
513,1,1,"https//wwwfacebookcom/pages/nailey-nicool/629410220489046ref=hl like mee.
"
514,0,1,"katy is beautiful. and this song is catchy. i'm a rapper with 25000 subscribers. thumbs up if you hate when you take a shit and the water splashes your balls.
"
515,0,0,"i love her green eyes.
"
516,0,0,"how old is katy perry.
"
517,0,0,"most popular video on youtube.
"
518,0,0,"nokia spotted.
"
519,0,0,"i hear this all the time on radio and its really irritating. that being said, i like the video.
"
520,0,1,"hi everyone! my dream is to have passionate sex with katy perry. some people do not believe in mebut maybe you will. sex is a giant part of my life and it pushes me to be a better person! please give me a chance by giving me a thumbs up! if you love my ambition please subscribe.
"
521,0,0,"fantastic.
"
522,1,1,"j aiiima plzzz https//wwwfacebookcom/pages/c389cc3b8lceb5-al-maceb7bceb5t/302703146601369.
"
523,1,1,"https//vimeocom/107297364.
"
524,0,0,"she's awesome.
"
525,0,0,"katy perry songs aren't that bad.
"
526,0,1,"hi beaties! i made a new channel please go check it out and subscribe and enjoy.
"
527,1,1,"https//wwwfacebookcom/pages/hiphop-express/704682339621282 like this page yo.
"
528,1,1,"our beautiful bella has been diagnosed with wobbler's syndrome. there is no way we could afford to do her mri or surgery. she is not just a dog she is a very special member of our family. without the surgery we fear we will lose her. please help! http//wwwgofundmecom/f7ekgw.
"
529,1,1,"https//wwwfacebookcom/pages/komedi-burda-gel/775510675841486.
"
530,1,1,"https//wwwfacebookcom/profilephpid=100007085325116.
"
531,0,0,"that's good.
"
532,1,1,"http//wwwgoogleadservicescom/pagead/aclksa=lai=csyoeb1wxvpcfl7d27abgpydgbjdpm6ih6mhu05wbgjxbv8sbeaegkn7ljvcf7byhf8byiofgicahkabskg31wpiaqkpahkmc0hbpm-qambyapbbkoekwfp0kullxqi1mg6o43hvze-efmqrg4tu5llbufsz8gn0hbkjhbx-m83w1ts33dxhwpdx1kazsj8o7siecvjjmbnswyijecqvhxlbdzstubofaloyinwm0roocpps2auat6zguickm0li83duwmabzqvene8trfazorltbb037vzyvxi4hbnq2nvh19mrbge0sibgggbgkab7jeycgnum=1cid=5ggsm9ma3ti40fs6mvpicssig=aod641ofc7seh1pop-jyrbs7x6-heenqclient=ca-pub-8252267209931889adurl=http//blog2paralero/2014/10/challenge-pentru-afiliati-aplica-la-noile-programe-de-afiliere-si-fii-business-boomerul-lunii/nm=2mb=2bg=a0qouc7q48v3qiaaabpugaaacsqar0vgoqwqxjmpuyvkosf3k-q1bvkf9ze4jhnc3ovckkxcbafzzpajibxwbvvq4jrdgz8q3rinlwgabybxlfw7ma6dk0rjg14zkryizwqdi7hxgge9tndd9abfltfkbmbffcjixnthwbwkj6n2onlh2d9eveagphoewxogbnu5ibgtrkgnacq1oibgmzgafnsc0lsariqj8hqr8t12dwv7biy4k6i3y4yublotde4xvklnveadzzf1lxryqke6wsur3edljwgk8flqqaldi-waznuysgqjnrdy6vucklplzonyisdkc9ebx-0dbhjzdw0lbsjbi40gxm0d0p5krhv8xinqli53wqbahs8zx4mjhw5vwrkpxfoeks.
"
533,0,0,"awesome video this is one of my favorite songs.
"
534,0,0,"if only i had the body like katy perry she looks so hot. i love her ^^.
"
535,1,1,"download rapid facebook for free now https//playgooglecom/store/apps/detailsid=comrapidfacebookmagicdroid.
"
536,0,0,"the song is very good but the video makes no sense. just a nonsense video. i mean she is telling her story of being stuck on an island, but the song doesn't fit in the situation. but nvm. the song is good.
"
537,0,0,"who else would give katy perry a good old mighty roar.
"
538,0,0,"omg i love you katy parry your songs rock! thats a total subscribe.
"
539,1,1,"https//wwwpaidvertscom/ref/tomuciux99 esyest money ever. join to our team.
"
540,1,0,"katy perry - roar official: http//youtube/cevxzvsjlk8.
"
541,1,1,"free itunes gift card http//shhortcom/ar=x6j4gbrne.
"
542,1,1,"i was playing this song and the baby in my belly started to dance to it. sooooo cute, but had to take the song out cause of copy right and add in a youtube made song. still sooo cute the baby danced to this song lmfao! https//plusgooglecom/111982027348137311818/posts/g2jvinpuemo.
"
543,0,0,"katy perry is awesome.
"
544,0,1,"this song is so addicting. the hook is dope and catchy. love the video too. i'm getting popular fast because i rap real. thumbs up if you piss next to the water in the toilet so its quiet.
"
545,0,1,"nice song see my new track.
"
546,0,0,"i love this sooooooooooooong i love katy perry.
"
547,0,0,"what does that tattoo on her right tricep say.
"
548,0,0,"since when has katy perry had her own youtube channel.
"
549,0,0,"every time i watch this mv i just so so so glad that i live in a world that don't have to worry about running from a real, human eating tiger.
"
550,1,1,"i rekt you are mum last nite. cuz da haterz were 2 much 4 meh lik dis if you cri evertim and sponswer mi robox vidz https//wwwindiegogocom/projects/gimme-dem-moneyz-4-roblox/x/8851222home.
"
551,0,0,"""eye of the tiger"" ""i am the champion"" seems like katy perry is using titles of old rock songs for lyrics.
"
552,0,0,"she is a perfect wonder.
"
553,1,1,"https//wwwindiegogocom/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160home.
"
554,0,0,"she is horrible at acting. cringe-worhty.
"
555,0,1,"i love katy fashions tiger, care to visit my blog sinar jahitan i also have the tiger collections tqvm.
"
556,0,1,"anyone who loves music please go check out my youtube page and tell me what you think i just put a video up and will be doing more song. i'm just trying to get myself started. any love is much appreciated.
"
557,0,0,"is that tiger called 'katty purry'.
"
558,0,0,"blue eyes, can't be trusted. uranus bless america.
"
559,0,1,"rap from belarus, check my channel.
"
560,0,1,"follow me on twitter: freyacumqueen.
"
561,1,0,"katy perry - roar official: http//youtube/cevxzvsjlk8.
"
562,1,0,"c'mon katy you are so close to 14000000 subscribers. come up with another hit like this and it will happen.
"
563,1,1,"vote for katy for the emas! katycats http//tvmtvemacom/artists/katy-perry/i38xh1.
"
564,0,0,"my honest opinion. it's a very mediocre song. nothing unique or special about her music, lyrics or voice. nothing memorable like billie jean or beat it. before her millions of fans reply with hate comments, i know this is a democracy and people are free to see what they want. but then don't i have the right to express my opinion? please don't reply with dumb comments lie ""if you don't like it don't watch it"". i just came here to see what's the buzz about661 million views? and didn't like what i saw. ok.
"
565,0,1,"visit my channel.
"
566,0,0,"wow she is sexy.
"
567,0,1,"if you looking for new music to listen to check out cece song called dead2me on itunes music video out now right here on youtube.
"
568,0,0,"katy has a voice of an angel.
"
569,1,1,"hey guys, i was working last night on this project, it's a music streamer like spotify, but it allows you to download the files to listen to when you're offline. opening it as a free beta, feel free to try it out. download: https//megaconz/ehvjzkya5bgkg2iwphzohwaeuesrwnegqglabco7rw9wfx8hao.
"
570,0,1,"man she is hot in this one, male companions visit my profile to check out the coolest sextoy ever made.
"
571,1,1,"like my page please. https//mfacebookcom/dreaddisref=mnotifift=fbpagefaninviteactorid=1442646731.
"
572,0,0,"this video is so racist! there are only animals.
"
573,0,0,"man she is beautiful.
"
574,0,1,"want to win borderlands the pre-sequel? check my channel.
"
575,1,1,"hi! i would appreciate it if you all could help to like this poster on facebook: https//wwwfacebookcom/nyghdramafest2014/photos/a3336081201569731073741830327568907427561/333607726823679/type=3theater.
"
576,0,1,"please help me getting 1000 subscribers tonight/today. thanks to all who subscribe me.
"
577,0,0,"yesterday this video have 1 million likes and now it has 2 million.
"
578,0,0,"why tiger succumbs to a beautiful girl probably male tiger. hahaha.
"
579,0,0,"best song ever.
"
580,0,1,"thank you katyperryvevo for your instagram likes axeljonssons.
"
581,0,1,"please subscribe in my channel.
"
582,0,0,"she is good. does she make any more music? if she doesn't, she should.
"
583,0,0,"i love you katty perry.
"
584,0,0,"honestly, i wanna see you be brave! oh wait.
"
585,0,0,"
"
586,0,0,"this video is great i love this. and like much katy perry.
"
587,0,0,"good thing she brought her spray-on tan, hairstylist, makeup artist, and cameraman.
"
588,0,0,"666002018 views! 666 million. 666! katy perry illuminati confirmed.
"
589,0,1,"i make guitar covers, please have a look at my channel.
"
590,0,0,"it should be illegal to be this goodlooking as this babe is.
"
591,0,0,"katy is mine the girl of my dreams.
"
592,0,0,"i love this song.
"
593,0,0,"she is fit.
"
594,0,0,"i love the song roar it make me think am fill the way.
"
595,0,0,"how do you forget you have a choice, and what the fuck, surviving a plane crash has a 1/1000 chance of happening.
"
596,0,0,"she is a fool. this is a foolish video. the lyrics are all about her and how great she is. she is arrogant, obviously. but the thing is that there are a lot of idiots. look how many hits this garnered. the young stupid girls who listen to her are numbering in the millions i guess. this video is a piece of trash. why would anyone ever like it or listen to it? because these stupid little girls have idiots for fathers and mothers. and so they are going to turn into idiots also. just like this stupid singer.
"
597,0,1,"attention we need 10 million views more for firework to reach 500m we have only 1 and half day left for katy's birtgday. listen how it could be possible? just open different tabs from different browser don't watch full video, remember we don't have time on hand, its time wasting. view it only for 30 sec. please thumbs up and share.
"
598,1,1,"rapid facebook the free version of all colors and is characterized by fast and beauty download now https//playgooglecom/store/apps/detailsid=comrapidfacebookmagicdroid.
"
599,0,1,"hey katycats! we are releasing a movie at midnight uk time to celebrate katy's 30th birthday! be sure to subscribe to our channel and watch the movie.
"
600,0,0,"i just realized that this verses in this song have the exact same melody as the verses in ""hey ho"" by the lumineers.
"
601,0,0,"-d this is my favorite song.
"
602,0,0,"this song never get's old.
"
603,1,1,"happy birthday katy. http//giphycom/gifs/birthday-flowers-happy-gw3jy2uqiaxkaqxs/fullscreen thats not me.
"
604,0,1,"hey i know most people don't like these kind of comments see at spam, but i see as free advertising so please check out my cover of sparks fly by taylor swift it is not the best ever i know, but maybe with some encouraging words of wisdom from many of you i can become better! please go to my channel and check it out.
"
605,1,1,"wwwyouniqueproductscom/joannagordon younique by joanna gordon wwwyouniqueproductscom.
"
606,0,0,"i like you katy perry 600606.
"
607,0,0,"glad to know i am not the only one who knows its katheryn's birthday today. happy birthday katy. and my sister. they seriously have the same birthday.
"
608,0,0,"katy perry can't sing for shit. all i hear it autotune.
"
609,0,0,"i fucking hate her. why? because she don't write her songs she got producers for that. second why tha fack is she in every song almost nude mayby because she's an attention hooker.
"
610,0,1,"also luckymusiqlive she probably could help you make it big because i think you have talent. just look her name up on the internet. hit me up when you get this message.
"
611,0,1,"check out my drum cover of et. here! thanks - /watchv=no9povz9oiqlist=uultucdihsdei01by1ow7wuq.
"
612,0,0,"put famous people in the jungle for an hour and look what happens.
"
613,0,0,"she kinda let herself go, huh.
"
614,0,0,"we all love you katy perry.
"
615,1,1,"sign up for free on tsu and start making money on social media add/follow me and ill add follow you! http//tsuco/roberts9010.
"
616,1,0,"love it when i can relate to my daughter's music. katy perry - roar official: http//youtube/cevxzvsjlk8.
"
617,0,1,"subscribe me and i subscribe you back.
"
618,0,0,"katy perry - roar official soundsofsunday music.
"
619,0,0,"when i hear katy singing this, i cry. the song has got depth.
"
620,0,0,"love it.
"
621,0,0,"people who believe in illuminati are stupid the same people believe that 911 was made by the american government.
"
622,0,1,"please subscribe to my channel i need subs and if you do i will subscribe back i need help.
"
623,0,1,"please look up dhg songs this is my playlist with a bunch of amazing songs.
"
624,0,1,"hey! i'm nerdy peach and i'm a new youtuber and it would mean the absolute world to me if you could check 'em out! hope you like them! =d.
"
625,0,0,"00 39 i am pretty sure that tiger just wanted a hug.
"
626,1,1,"http//vimeocom/106865403.
"
627,0,1,"this song gives me strength! love her lyrics. this video really brings the lyrics to life. i'm getting known fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so its quiet.
"
628,1,1,"http//minhatecacombr/mauro-sp2013/filmes+series+desenhos+animes+mp3+etc.
"
629,1,1,"https//wwwfacebookcom/antrobofficial.
"
630,0,0,"i love you katy perry because you will sing nice than shakira.
"
631,1,1,"http//hackfbaccountlivecom/ref=4344749.
"
632,1,1,"facebook account hack! http//hackfbaccountlivecom/ref=4477063.
"
633,0,0,"i love katty perry.
"
634,0,1,"the perry you're doing a good job good job i love all of their videos and by the way can you please describe to my channel please please please please i'm trying to get as many comments to skyburst lights is a cancer and get famous please.
"
635,0,1,"i did a cover if you want to check it out thank you. michael age 8.
"
636,0,1,"everybody please vote katy at ema 2014 best song best female best pop best live best look best video please vote katy please please please vote vote vote katy katy katy.
"
637,0,0,"h my god roar is the most liked video at vevo while 2 months ago was justin's baby. congrats katy applause.
"
638,1,1,"https//soundcloudcom/j-supt-fils-du-son/fucking-hostile.
"
639,1,1,"https//wwwfacebookcom/myfunnyriddles.
"
640,0,1,"hi everyone! do you like music? then why not check out my music channel. the lexis band will be uploading their own songs and covers soon so don't miss out. please subscribe too as it does help us out a lot. just takes one click. -.
"
641,1,1,"https//wwwfacebookcom/photophpfbid=313454548839369set=a2072302127951371073741825100005244783212type=1theater 1111111111111111111.
"
642,0,0,"i'd rather hear some propa explicit gangsta rap insted of this garbage. this song is trash.
"
643,0,0,"damnnnnnnnn, she is sexy oo.
"
644,0,1,"such a good song ans katy sounds great over the melody. i am growing as an artist everyday from my hit song 'crazy' which has got my name out there. cant thank my fans more for their support. if you could take a moment? to check it and my music? maybe you'll join me to make my dream come true. thank you for your time.
"
645,0,0,"i love you! because you make me smile when i am sad you cheer me up with your beautiful songs.
"
646,0,0,"this song is the most boring, asinine song i have ever heard. coming from a guy who liked ""teenage dream"" the song. ever since katy perry's divorce it's wave after wave of shitty but successful songs. for those of you saying ""this is the next wave of pop music"". stick it up your ass. katy perry is like silly putty.
"
647,1,0,"katy perry - roar official: http//youtube/cevxzvsjlk8. i love this song and video katy perry rocks wahoo.
"
648,0,0,"and somehow she has access to makeup in the middle of the woods.
"
649,0,0,"it looks so real and my daughter is a big fan and she likes a lot of your songs.
"
650,0,0,"i can't comprehend why this video has nearly 700000000 views. some people found 'gangnam style' funny so that explains its high view count but this is just an awful pop song. i really have no clue on this one.
"
651,0,0,"lets be honest, you wouldn't last 1 day on your own in the jungle. stop living n a fairy world.
"
652,1,1,"me segue ha https//wwwfacebookcom/marcossousa4fref=ts.
"
653,0,0,"nature is beautiful, no need to place tits in video to impress people.
"
654,0,0,"this is so stupid. if you roared at a lion in real life you'd dede.
"
655,0,0,"this song is so awesome! she made everything stand out and all the viewers could imagine themselves at the setting of the video. awesome job katy perry!
"
656,1,0,"katy perry - roar official: http//youtube/cevxzvsjlk8.
"
657,0,0,"katy perry is lion.
"
658,1,1,"people, here is a new network like fb. you register also free, the difference is only that you get paid for sharing, commenting and liking posts and so one. don't waste your time on fb for sharing and not being paid! register here to make also money with your everyday posts! https//wwwtsuco/slema13 wellcome to everyone.
"
659,0,0,"i've figured out why i dislike this song: it's supposed to be a power ballad right? something that's uplifting and motivating by the end. however, the final chorus has no extra umph at the end and actually sounds just like the first one. instead of crescendo-ing into a powerful finish, ""roar"" just says on the same wavelength. it falls flat.
"
660,0,0,"i like this song the video goes perfect with it.
"
661,0,0,""". because i am a champion. and you're gonna hear me roar"" today i am my own champion today i am a champion for the creator today i am doing positive in my world today i am blessing and healing all around me today i am successful and creating success.
"
662,1,1,"nowplaying ""weekendmix"" track 04 katy perry - roar dj denis shmelev dj alex serov remix http//youtube/cevxzvsjlk8 listen live at: wwwsmartfmnl/livestreamhtml.
"
663,0,0,"katy perry's songs are the best of the songs of women artists.
"
664,0,0,"i like this song because of all the animals and i like this song.
"
665,1,1,"http//wwwwattpadcom/story/26032883-she-can-love-you-good.
"
666,0,0,"i love this song so much! -d i've heard it so much i pretty much memorized the lyrics.
"
667,0,1,"hey guys, i know you tend to skip these comments, but take a look first. i am free fire, a big room, progressive house, deep house, dubstep chillstep producer from a small town in missouri. down here, i have no support from the community, and all i really ask is some critiquing, support, and views. my music has gotten much better then what it was 10 months ago, and i promise my new content should be more then satisfying. soon i should be able to advertise and i wont pester you guys anymore. so gimme a chance and check out my music, thanks and god bless.
"
668,1,1,"for latest movies 2014 please visit this site http//wwwnetworkedblogscom/p/11cpwbref=panorama.
"
669,0,1,"i love that you subscribed.
"
670,1,1,"https//wwwtsuco/tomeks go register. free money.
"
671,0,0,"great song, but we all know that katy buys her views.
"
672,0,1,"check out mah girl it duh shit yo.
"
673,0,1,"check out this video on youtubefacebook lhudygirlamaya.
"
674,0,1,"hey yall its the real kevin hart, shout out to my fans! follow me +realkevinheart.
"
675,0,1,"check out my acoustic channel.
"
676,0,1,"i know someone will see this i have a dream i don't have the greatest videos or the best quality right now i feel like i'm not getting anywhere and i need your help if you could possibly watch my videos it means the world to me please thumbs this up so others can see i appreciate it so much please listen before you hate. honestly i appreciate it so much you don't have to love me just give this 17 year old a chance.
"
677,1,1,"https//appsfacebookcom/my-polls/utsitcompetition2014from=userlinkrefid=ouxg5e please open this link and vote for anand niketan international school, the project name is project fr-e-dom and share it with yours friend.
"
678,0,0,"i hate videos like these with those poor animals.
"
679,0,0,"hii youtube.
"
680,0,0,"nice very nice.
"
681,0,0,"i love this song.
"
682,0,0,"katy you are a shit go die! roar is a floooooooooooooooooooop.
"
683,0,0,"i love your music.
"
684,0,0,"my 6th grade teacher looked exactly like katy perry come to think of it.
"
685,1,1,"curti? click here https//wwwfacebookcom/demiilovatofasref=hl https//wwwfacebookcom/pages/frases-secretas/448800865296855ref=hl.
"
686,1,1,"http//wwwermailpl/dolacz/unnfy2i= please click on the link.
"
687,0,1,"come check out our parody of this.
"
688,0,1,"please subscribe to us and thank you.
"
689,1,1,"please vote for me for the wet seal model 2015 contest! my instagram username is destinyforever http//wwwwetsealcom/modelsearch15/modelsearch15html.
"
690,1,1,"simply put, our customers love us. and so will youhttps//wwwfacebookcom/greenleader.
"
691,1,1,"https//binboxio/dnckmqt4q1jb1.
"
692,0,0,"almost 1 bil. what? wow, gs sucks, in my opinion.
"
693,0,0,"katty is the best!
"
694,0,0,"that was very good i mean very very much good.
"
695,0,0,"this song means so much to me thank you soooooooooooooooooooooooooooooooooooooooo much- xxx.
"
696,0,0,"
"
697,0,1,"katy perry, i am the ""dcio cabelo"", ""decio hair"". i am 60 years of age. i don""t have family. i""m single. alone. homeless. i was an alcoholic: 15 at the age of 46. i am an invisible composer. my dream is to record my songs. could you help me? please! please! i trust that the you will give me a chance. i have 109 videos in the youtube: deciocabelo canal. katy perry, i was born in october 25, too. thank you very much! decio hair.
"
698,0,0,"honestly speaking except taylor swift and adele i don't lile any of the modern day singers. but i must say whenever i hear this song i feel goosebumps. its quite inspiring! thanks miss perry.
"
699,0,0,"who is going to reach the billion first katy or taylor.
"
700,1,0,"a href=""http//wwwyoutubecom/watchv=kq6zr6kcpj8t=2m19s""219/a best part.
"
701,0,0,"wierd but funny.
"
702,1,1,"hey guys, i'm a humanbut i don't want to be a human, i want to be a sexy fucking giraffei already have the money for the surgery to elongate my spinal core, the surgery to change my skin pigment, and everything else! like this post so others can root me on in my dream! i am fucking with you, i make music, check out my first song! a rel=""nofollow"" class=""ot-hashtag"" href=""https//plusgooglecom/s/23giraffebruuh""giraffebruuh/a.
"
703,0,0,"party rock. lol. who wants to shuffle.
"
704,0,0,"party rock.
"
705,0,0,"shuffle.
"
706,0,0,"omg.
"
707,0,0,"this song is just really fun.
"
708,0,0,"awsome.
"
709,0,0,"wow! increible song!
"
710,0,0,"i love this song so much.
"
711,0,0,"2015 likeee.
"
712,0,0,"i miss when people dressed like this.
"
713,0,0,"2011- the last year of decent music.
"
714,0,0,"best song ever.
"
715,0,0,"super nice, love musique.
"
716,0,0,"wowwwwwwwwwwwwwwwwwwwwwwwwwwwwww.
"
717,0,0,"party rock 8
"
718,0,0,"thumbs up if you watched it in 2011.
"
719,0,0,"this is increidebl.
"
720,0,0,"lmfao.
"
721,0,0,"just. superr.
"
722,0,0,"2015! llikee.
"
723,0,0,"yeah! let's start the party.
"
724,0,0,"this awesome song needed 4 years to reach to 800 mil views while tango switch bitch needed 1 year. its not fairrrrrrr.
"
725,0,0,"nice girl.
"
726,0,0,"i remember back when this was so popular everyone on our school was shuffling it was crazy.
"
727,0,0,"lmfao.
"
728,0,0,"super awesome video.
"
729,0,0,"just dance 3.
"
730,1,0,"this will always be my favorite songbut my favorite part is a href=""http//wwwyoutubecom/watchv=kq6zr6kcpj8t=3m40s""340/a-a href=""http//wwwyoutubecom/watchv=kq6zr6kcpj8t=4m11s""411/a in the video.
"
731,0,0,"party rock.
"
732,1,0,"lmfao - party rock anthem ft. lauren bennett, goo: a href=""https//youtube/kq6zr6kcpj8""https//youtube/kq6zr6kcpj8/a box man got some moves! he makes meh smile.
"
733,0,0,"this the best song i ever hire.
"
734,0,0,"its funny that mahogany is there lmao, i actually didn't know that her brother and uncle are part of lmfao.
"
735,0,0,"party rock anthem is loveparty rock anthem is life.
"
736,0,0,"stopis a very top 1.
"
737,0,0,"ahhh back when my life didn't suck.
"
738,0,0,"party rock.
"
739,0,0,"cute.
"
740,0,0,"lmfao best songs ever.
"
741,1,0,"i fuckin love this songafter, i'm sexy and i know it.
"
742,0,0,"they shuffle hard that they made an earthquake in nepal.
"
743,0,0,"nice.
"
744,0,0,"still. this reminds me of 1 years back when i was do shuffle everyday.
"
745,0,0,"love this song makes me wanna dance.
"
746,0,0,"that time in 2011 where this shirt was cool.
"
747,0,0,"love this video and the song of course.
"
748,0,1,"check out this video on youtube.
"
749,0,0,"very nice yeah fucking.
"
750,0,0,"well this dudes faded the fuck out.
"
751,0,0,"ah. good old times.
"
752,0,0,"old and good song.
"
753,0,0,"cool.
"
754,0,0,"not 2 million view anymore.
"
755,0,0,"good.
"
756,0,1,"check out this video on youtube.
"
757,0,1,"check out this video on youtube.
"
758,0,0,"remeber the good ol' days when songs weren't about butts.
"
759,0,0,"you are the music hero.
"
760,0,0,"i was born in the wrong generation.
"
761,0,0,"love this song makes me wanna dance.
"
762,0,0,"love this song makes me wanna dance.
"
763,0,0,"very good! like.
"
764,0,0,"the views. they're over 90000.
"
765,0,0,"love lmfao party rockin keep it going.
"
766,0,0,"best music ever.
"
767,0,0,"likeeee.
"
768,0,0,"cool.
"
769,0,0,"remeber when this song was good.
"
770,0,0,"2015.
"
771,0,0,"i want to be that robot guy.
"
772,0,0,"i love your songs.
"
773,0,0,"omg it's going to have 1bi views.
"
774,0,0,"dance.
"
775,0,1,"check out this video on youtube.
"
776,0,0,"5 years.
"
777,0,0,"cool cool cool cool cool cool cool.
"
778,0,0,"wow i love it.
"
779,0,0,"who knows the name of that girl? and that one. and that one.
"
780,0,0,"why did they stop their career in music? this music rocks.
"
781,0,0,"very nice.
"
782,0,0,"why sooooo many downs.
"
783,0,0,"tension.
"
784,0,0,"nice.
"
785,0,0,"2015i like video.
"
786,0,0,"music yeah.
"
787,0,0,"like this in 2015.
"
788,0,0,"this was such an epic track. and the video is awesome.
"
789,0,0,"likkee.
"
790,0,1,"give it a like.
"
791,0,0,"lets party.
"
792,1,1,"support the fight for your 4th amendment right to privacy in your home and business. stop the nsa spying on americans with the un patriot act renewal. rand paul has spent 105 hours on the senate floor in a protest and filibuster fighting for our constitution that this nation is founded on. join the fight at rand paul dot com. spread the word. we have someone that cares about our nation. email your senators, congress men and women, tell them to support rand. tell the news to support rand too. senator rand paul was up until a href=""http//wwwyoutubecom/watchv=kq6zr6kcpj8t=1m00s""100/a am this morning fighting for our constitution.
"
793,0,0,"mindblowing dance. superbbb song.
"
794,0,0,"anyone else think this video theme is a bit of an insult to 28 days later.
"
795,0,1,"check out this video on youtube.
"
796,0,0,"never get old.
"
797,0,0,"i remember when this used to be so popular all around at the timei still love it.
"
798,0,0,"strong messages in every song i've heard.
"
799,0,0,"4 fucking years are fucking past so fucking fast fuck.
"
800,0,0,"i know it old song but like if you watching in 2015.
"
801,0,0,"i'm watching this on summer 2015.
"
802,0,0,"i am going to blow my mind.
"
803,0,0,"and i am shufflin still today.
"
804,0,0,"this is my favorite song ever love this party rock it everybody.
"
805,0,0,"1000000000 views.
"
806,0,0,"lets get it to 1 billion.
"
807,0,0,"love this soooooooooooooooooooooooooooooooooooooooooooooooooo much.
"
808,0,0,"i love this song so much.
"
809,0,1,"i'm a subscriber.
"
810,0,0,"this song is awesome.
"
811,0,0,"best song ever made i swear. i still hear even doe it old! who else.
"
812,0,0,"i came here because of vanoss.
"
813,0,0,"best song for ever.
"
814,0,0,"epic.
"
815,0,0,"i like so much this music, good.
"
816,0,0,"beautiful song.
"
817,0,0,"why do i feel like as if gangnam style copied their song from this.
"
818,0,0,"damn, this was everywhere.
"
819,0,0,"party time.
"
820,0,0,"never gets old.
"
821,0,0,"this song is fu cking awesom.
"
822,0,1,"how do you put a picture for your image thingie.
"
823,0,1,"okay, this should cover me for some time. thumbs up if you're watching while youtube still exists.
"
824,0,0,"this song is just insanedo you dance listening to this song i do, lol.
"
825,0,0,"
"
826,0,1,"thumbs up if shrek is gay.
"
827,0,0,"thumbs up for robo guy baby.
"
828,0,0,"seriously how did they come up with that beat it is insanely good holy fuck.
"
829,0,0,"best party song literally party rock is in the housee tonight.
"
830,0,0,"memories.
"
831,0,0,"i lovee it.
"
832,0,0,"more views than nikki minaj anaconda.
"
833,0,0,"lmfao is the best.
"
834,0,0,"who else saw jesses dancing sorry if i spelled it wrong peace.
"
835,0,0,"i like how the robot shuffles he shuffles good.
"
836,0,0,"you cant stop the shuffle.
"
837,0,0,"dang dat little kid gat moves.
"
838,0,0,"i miss this song.
"
839,0,0,"loves it.
"
840,0,1,"check out this video on youtubegotta dance and just have a blast every time i hear this song just love it.
"
841,0,0,"man this song really does get in your bones - one minute i'm nearly dosing off to sleep - the next i'm shuffling like crazy with hot feet.
"
842,0,0,"that shake and that golden and black robot were really partying.
"
843,0,1,"take a look at this video on youtube.
"
844,0,0,"cooooooooooooolllllllllll.
"
845,0,0,"wow.
"
846,0,0,"oh shit this was uploaded on my birthday, finally my birthday isnt a curse, because on this day maylaysia airlines went missing, so i thought my birthday was a curse.
"
847,0,0,"everyday i'm shufflin.
"
848,0,0,"everyday i'm shufflin.
"
849,0,1,"thumbs up if fe-fe-fe-fe-fegelein brought you here.
"
850,0,0,"every day i'm shuffling.
"
851,0,0,"cool song ever good thing its here.
"
852,0,0,"why does the world not shuffle.
"
853,0,0,"love these guys, love the song.
"
854,0,0,"its funny because i listen to rock and death metal. but i like this.
"
855,0,0,"shuffling all the way with lmfao! i like this one, wish i could shuffle like these crazy dudes.
"
856,0,0,"5th most viewed video. i guess.
"
857,0,0,"my favorite song.
"
858,0,0,"i like this song.
"
859,0,0,"wow dance show.
"
860,0,0,"awesome.
"
861,0,1,"like if you are watchin in 90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 1.
"
862,0,0,"good times.
"
863,0,0,"laughing my fucking ass off.
"
864,0,0,"when i see this back in 2015 i ask myself how people got to like this song. seems like gangnam style copied this style though, might just be me but yea.
"
865,0,0,"wait i saw a kid not kidding.
"
866,0,0,"party rock due and duel.
"
867,0,0,"fucking love it omg.
"
868,0,0,"this very good so i dance with some companions front of the whole school.
"
869,0,1,"check out this video on youtube.
"
870,0,0,"i could finally do the spongebob but i started yesterday.
"
871,0,0,"thumbs up if you're watching in 2015.
"
872,0,0,"i love it.
"
873,0,0,"lmfao - party rock anthem ft. lauren bennett, goonrock.
"
874,0,0,"i hate it when laura bennett comes in.
"
875,0,1,"subscribe to my channel.
"
876,0,0,"party in da tonight.
"
877,0,0,"best for partying.
"
878,0,0,"omg.
"
879,0,0,"what's with the guys jacket? 1 sleeve and a sleeveless arm.
"
880,0,0,"best song ever.
"
881,0,1,"take a look at this video on youtubyou.
"
882,0,0,"i like this steps.
"
883,0,0,"let get this video to one billion views.
"
884,0,0,"in my head this is like 2 years ago. time flies.
"
885,0,0,"870000000 views. 566000 comments. oh my lanta.
"
886,0,0,"its 2015 and still shuffling to this song.
"
